Title,Company,Link,Location,Summary,Salary
Golang Developer,Maximo Global Tech,https://www.indeed.com/viewjob?jk=c75115a9caa5b5eb&vjs=3,Remote,"Write, modify, and debug software for client applications. Use source debuggers and visual development environments. Master's in Computer Science.",Estimated $98.8K - $125K a year
"Associate Engineer, Software",Verint Systems Inc.,https://www.indeed.com/viewjob?jk=22004c7cdd053881&vjs=3,Remote,"As part of the team, you will be responsible for designing and developing cloud-based software and automation for our products and infrastructure in AWS.",Estimated $58.4K - $74K a year
Golang Engineer,Pyxelchain Technology,https://www.indeed.com/viewjob?jk=df6f7641e5b2e896&vjs=3,Remote,The ideal candidate for this role must be comfortable working independently and autonomously while establishing a cadence of timely delivery with high-quality…,Estimated $123K - $156K a year
Full Stack Engineer,RSS3,https://www.indeed.com/viewjob?jk=99db1eec779ed303&vjs=3,Remote,"We promote flexible working hours, so both early birds and night owls are welcome! A fully open-sourced development/engineering approach.","From $4,000 a month"
Golang Developer,BatchService,https://www.indeed.com/viewjob?jk=10ec71bd167bb0cd&vjs=3,Remote,You will collaborate with other technical staff to deliver and maintain a fully-functional software implementation. 3+ years of a proven development experience.,Estimated $100K - $127K a year
Golang Engineer,Facet Wealth,https://www.indeed.com/viewjob?jk=b865fd3a61d77d4c&vjs=3,Remote,"Facet believes financial advice should be delivered with a fresh, human-plus-tech approach, that includes a CFP® professional–the highest certification possible…",Estimated $117K - $148K a year
Golang Developer,SRM Tech,https://www.indeed.com/viewjob?jk=5ceac5d5fd4e8da5&vjs=3,"Seattle, WA","Experience in building, delivering and maintaining scalable backend APIs to provide data for a front-end User Interface. Overall 12+ Years of Experience.",$65 - $90 an hour
Developer III (Golang/Backend),Compassion,https://www.indeed.com/viewjob?jk=f91f48b8a629f92a&vjs=3,Remote,This career developer is responsible for the lifecycle of critical corporate-wide and customer-specific technology based products.,"$79,030 - $98,785 a year"
GoLang Developer IV (Remote),pureIntegration,https://www.indeed.com/viewjob?jk=432631b3d1a8d60a&vjs=3,Remote,"Also has exposure to container technologies like Docker and Kubernetes. Work Arrangement: * Contract W2 hourly role, initial contract period through 12/31/2021…",Estimated $110K - $139K a year
Golang Developer - 160,"Next Phase Solutions and Services, Inc.",https://www.indeed.com/viewjob?jk=f71ffd7c82ceed69&vjs=3,Remote,Your primary focus will be on developing Go packages and programs that are scalable and maintainable. Debug code and collaborate with Business Analysts to…,Estimated $92.9K - $118K a year
Senior Golang Backend Engineer (remote),Xata.io,https://www.indeed.com/viewjob?jk=8c0751ba077142e4&vjs=3,Remote,"This role is unique because you will be part of the initial team that builds the technical architecture, designs the product, and iterates quickly to react to…",Estimated $124K - $157K a year
Senior Golang Engineer,Catalyte Inc,https://www.indeed.com/viewjob?jk=5436847b759810c3&vjs=3,Remote,"Resource MUST HAVE strong professional experience in Golang. As a Software Engineer, you will build and scale the online tournament gaming product, creating an.",Estimated $129K - $163K a year
Golang Developer,Recruiting.IXsystems.com,https://www.indeed.com/viewjob?jk=c37d99f7946f5ad7&vjs=3,Remote,"Design, develop, test, and support code. Interact with remote users to diagnose issues. Curiosity to expand your coding skills and keen to receive public…",Estimated $89.6K - $113K a year
DevOps,SWORD Health,https://www.indeed.com/viewjob?jk=096693a5508deed5&vjs=3,Remote,"Our Engineering team is devoted to building our Digital Therapist, whose groundbreaking interface bridges the relationship between our motion algorithms and our…",Estimated $74.4K - $94.2K a year
Backend Engineer (Golang),AANSEACORE INC.,https://www.indeed.com/viewjob?jk=2eb08378fdefaf99&vjs=3,"Remote in Las Vegas, NV",Type of Job: Direct Hire/Contractor*. Client’s white-label apps have been downloaded more than 5 million times and are used by approximately 100 casino…,Estimated $102K - $129K a year
Software Engineer (Golang),Fleet,https://www.indeed.com/viewjob?jk=c002a012971e5aee&vjs=3,Remote,"You are free to travel and move. Help make endpoint monitoring less intrusive and more transparent. You will have lots of opportunities to make decisions, learn…",Estimated $92.4K - $117K a year
Golang Developer,ventechsoft INC,https://www.indeed.com/viewjob?jk=d39ac9e7811eaa54&vjs=3,"Dallas, TX","Expertise in translating business requirements to project design, development, and execution.*. • Strong analytical skills with the ability to collect, organize…",Estimated $89.6K - $113K a year
Full Stack Developer,Dallas Endoscopy,https://www.indeed.com/viewjob?jk=f90cd8d14b030e21&vjs=3,Remote,"NET Core (5+), SQL, Blazor, and Azure DevOps in the last 24 hours. You’ll start by taking instruction from our software architect and advice from our current…","$100,000 - $120,000 a year"
"Engineering Manager – Infrastructure Automation, Developer Experience (Remote)",CrowdStrike,https://www.indeed.com/viewjob?jk=518a25729bc6b5b2&vjs=3,Remote,"We are looking to hire a technically focused Engineering Manager that will lead teams focused on internal infrastructure tooling and automation, as well as the…","$133,770 - $222,950 a year"
